Sector,Ticker, Symbols,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oil & Gas Producers, BP.L, RDSA.L, RDSB.L, CNE.L, TLW.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oil Equipment & Services, HTG.L, PFC.L, WG.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Personal Goods, BRBY.L, ULVR.L, PZC.L, SDRY.L, TED.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pharmaceuticals & Biotechnology, AZN.L, GSK.L, SHP.L, BTG.L, DPH.L, GNS.L, HIK.L, VEC.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Real Estate Investment & Services, CAPC.L, CLI.L, DJAN.L, FCPT.L, GRI.L, SVS.L, SMP.L, UKCM.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Real Estate Investment Trusts, BLND.L, HMSO.L, LAND.L, SGRO.L, AGR.L, BYG.L, DLN.L, GPOR.L, HSTN.L, INTU.L, LMP.L, NRR.L, RDI.L, SAFE.L, SHB.L, BBOX.L, UTG.L, WKP.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Software & Computer Services, MCRO.L, SGE.L, ALFA.L, AVV.L, CCC.L, FDM.L, FDSA.L, SCT.L, SOPH.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Support services, AHT.L, BNZL.L, DCC.L, EXPN.L, FERG.L, GFS.L, ITRK.L, RTO.L, AA.L, AGK.L, BAB.L, BCA.L, CPI.L, DPLM.L, ECM.L, EQN.L, ESNT.L, GFTU.L, HAS.L, HSV.L, HWDN.L, IWG.L, MTO.L, PAGE.L, RWI.L, SNN.L, SRP.L, SHI.L, TPK.L,,,,,,,,,,,,,,,,,,
Tobacco, BATS.L, IMB.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Travel & Leisure, CCL.L, CPG.L, EZJ.L, IHG.L, IAG.L, PPB.L, TUI.L, WTB.L, 888.L, CINE.L, DON.L, FGP.L, GOG.L, GNK.L, GVC.L, LCL.L, MARS.L, MERL.L, MLC.L, MAB.L, NEX.L, PTEC.L, RNK.L, SSPG.L, SGC.L, TCG.L, JDW.L, WMH.L, WIZZ.L,,,,,,,,,,,,,,,,,,
